id	long_id	borogh_id	tract_name	income
009600	14000US36081009600	81	Census Tract 96, Queens, NY	53286
009600	14000US36061009600	61	Census Tract 96, New York, NY	99444
009600	14000US36005009600	05	Census Tract 96, Bronx, NY	41786
009601	14000US36085009601	85	Census Tract 96.01, Richmond, NY	58021
009602	14000US36085009602	85	Census Tract 96.02, Richmond, NY	70227
009700	14000US36085009700	85	Census Tract 97, Richmond, NY	72813
009700	14000US36081009700	81	Census Tract 97, Queens, NY	71103
009700	14000US36061009700	61	Census Tract 97, New York, NY	46023
009800	14000US36005009800	05	Census Tract 98, Bronx, NY	52500
009800	14000US36047009800	47	Census Tract 98, Kings, NY	30556
009800	14000US36081009800	81	Census Tract 98, Queens, NY	65833
009800	14000US36061009800	61	Census Tract 98, New York, NY	104198
009900	14000US36061009900	61	Census Tract 99, New York, NY	132462
009900	14000US36081009900	81	Census Tract 99, Queens, NY	0
010000	14000US36047010000	47	Census Tract 100, Kings, NY	27472
010000	14000US36061010000	61	Census Tract 100, New York, NY	86156
010000	14000US36081010000	81	Census Tract 100, Queens, NY	80096
010100	14000US36081010100	81	Census Tract 101, Queens, NY	54313
010100	14000US36047010100	47	Census Tract 101, Kings, NY	43278
010100	14000US36061010100	61	Census Tract 101, New York, NY	142167
010200	14000US36081010200	81	Census Tract 102, Queens, NY	62105
010200	14000US36047010200	47	Census Tract 102, Kings, NY	43801
010200	14000US36061010200	61	Census Tract 102, New York, NY	160729
010300	14000US36061010300	61	Census Tract 103, New York, NY	90879
010300	14000US36081010300	81	Census Tract 103, Queens, NY	51586
010400	14000US36081010400	81	Census Tract 104, Queens, NY	55375
010400	14000US36047010400	47	Census Tract 104, Kings, NY	30109
010400	14000US36061010400	61	Census Tract 104, New York, NY	98438
010500	14000US36085010500	85	Census Tract 105, Richmond, NY	58083
010500	14000US36081010500	81	Census Tract 105, Queens, NY	48438
010600	14000US36047010600	47	Census Tract 106, Kings, NY	35063
010600	14000US36081010600	81	Census Tract 106, Queens, NY	56284
010601	14000US36061010601	61	Census Tract 106.01, New York, NY	123435
010602	14000US36061010602	61	Census Tract 106.02, New York, NY	116250
010701	14000US36081010701	81	Census Tract 107.01, Queens, NY	0
010800	14000US36061010800	61	Census Tract 108, New York, NY	107448
010800	14000US36081010800	81	Census Tract 108, Queens, NY	58021
010800	14000US36047010800	47	Census Tract 108, Kings, NY	30479
010900	14000US36061010900	61	Census Tract 109, New York, NY	131250
011000	14000US36047011000	47	Census Tract 110, Kings, NY	35000
011000	14000US36005011000	05	Census Tract 110, Bronx, NY	46417
011000	14000US36061011000	61	Census Tract 110, New York, NY	108672
011000	14000US36081011000	81	Census Tract 110, Queens, NY	48723
011100	14000US36081011100	81	Census Tract 111, Queens, NY	75375
011100	14000US36061011100	61	Census Tract 111, New York, NY	92446
011200	14000US36047011200	47	Census Tract 112, Kings, NY	27207
011200	14000US36081011200	81	Census Tract 112, Queens, NY	50521
011201	14000US36085011201	85	Census Tract 112.01, Richmond, NY	75536
011201	14000US36061011201	61	Census Tract 112.01, New York, NY	167596
011202	14000US36085011202	85	Census Tract 112.02, Richmond, NY	77601
011202	14000US36061011202	61	Census Tract 112.02, New York, NY	150125
011203	14000US36061011203	61	Census Tract 112.03, New York, NY	90188
011300	14000US36061011300	61	Census Tract 113, New York, NY	124605
011300	14000US36081011300	81	Census Tract 113, Queens, NY	58201
011400	14000US36047011400	47	Census Tract 114, Kings, NY	41764
011400	14000US36081011400	81	Census Tract 114, Queens, NY	44464
011401	14000US36085011401	85	Census Tract 114.01, Richmond, NY	38843
011401	14000US36061011401	61	Census Tract 114.01, New York, NY	175475
011402	14000US36061011402	61	Census Tract 114.02, New York, NY	132500
011402	14000US36085011402	85	Census Tract 114.02, Richmond, NY	67115
011500	14000US36061011500	61	Census Tract 115, New York, NY	72402
011500	14000US36081011500	81	Census Tract 115, Queens, NY	51518
011502	14000US36005011502	05	Census Tract 115.02, Bronx, NY	21016
011600	14000US36061011600	61	Census Tract 116, New York, NY	71113
011600	14000US36047011600	47	Census Tract 116, Kings, NY	37516
011600	14000US36081011600	81	Census Tract 116, Queens, NY	50987
011700	14000US36005011700	05	Census Tract 117, Bronx, NY	19022
011700	14000US36061011700	61	Census Tract 117, New York, NY	106423
011700	14000US36081011700	81	Census Tract 117, Queens, NY	66806
011700	14000US36047011700	47	Census Tract 117, Kings, NY	67083
011800	14000US36081011800	81	Census Tract 118, Queens, NY	52135
011800	14000US36061011800	61	Census Tract 118, New York, NY	123019
011800	14000US36005011800	05	Census Tract 118, Bronx, NY	73508
011800	14000US36047011800	47	Census Tract 118, Kings, NY	36146
011900	14000US36081011900	81	Census Tract 119, Queens, NY	49375
011900	14000US36047011900	47	Census Tract 119, Kings, NY	66875
011900	14000US36061011900	61	Census Tract 119, New York, NY	11981
011900	14000US36005011900	05	Census Tract 119, Bronx, NY	23838
012000	14000US36061012000	61	Census Tract 120, New York, NY	138258
012000	14000US36047012000	47	Census Tract 120, Kings, NY	52841
012000	14000US36081012000	81	Census Tract 120, Queens, NY	65000
012100	14000US36081012100	81	Census Tract 121, Queens, NY	60486
012100	14000US36061012100	61	Census Tract 121, New York, NY	61786
012100	14000US36047012100	47	Census Tract 121, Kings, NY	75568
012100	14000US36085012100	85	Census Tract 121, Richmond, NY	87361
012101	14000US36005012101	05	Census Tract 121.01, Bronx, NY	35147
012102	14000US36005012102	05	Census Tract 121.02, Bronx, NY	17028
012200	14000US36047012200	47	Census Tract 122, Kings, NY	36458
012200	14000US36085012200	85	Census Tract 122, Richmond, NY	82563
